id;latitude;longitude;score;UGA
120003694;43,975178;2,991633;122;12MIL
120003710;43,957683;2,88856;25;12MIL
120003744;43,957877;2,888033;164;12MIL
120003777;43,957091;2,878205;110;12MIL
120003793;43,958391;2,885707;200;12MIL
120004015;44,064461;2,983959;24;12MIL
120004080;44,048131;2,893789;76;12MIL
120004114;43,884887;2,603371;132;12MIL
120004262;44,330707;3,050776;182;12MIL
120004296;44,321001;3,074264;125;12MIL
120004346;44,260728;2,948259;163;12MIL
120004395;44,087138;2,703244;118;12MIL
120004783;43,946303;2,840541;95;12MIL
540014354;44,101522;3,075334;194;12MIL
810005702;43,708688;2,697677;156;12MIL
810006387;43,683119;2,860912;35;12MIL
810007120;43,942764;2,483126;67;12MIL
020003315;49,004716;3,561461;139;51SEZ
020003497;49,048195;3,509966;116;51SEZ
020007084;49,08949;3,534435;150;51SEZ
100002427;48,66715;4,208383;78;51SEZ
510017775;48,583608;3,814178;175;51SEZ
510018526;48,726876;3,923675;149;51SEZ
510018724;49,076429;3,640171;160;51SEZ
510018740;49,076586;3,640201;147;51SEZ
510019094;48,732209;3,558814;58;51SEZ
510019110;48,880373;3,85542;180;51SEZ
510019193;48,755795;3,989778;40;51SEZ
510019474;48,870555;3,539115;117;51SEZ
510019490;48,870347;3,537835;45;51SEZ
510019581;48,958941;4,012753;96;51SEZ
510019615;48,950516;3,699806;56;51SEZ
510019714;48,689747;3,870862;66;51SEZ
510021827;48,721646;3,723056;188;51SEZ
510022114;48,903905;4,004336;84;51SEZ
210005401;47,506219;4,168917;52;89AVA
210006656;47,424859;4,104603;53;89AVA
890003221;47,776025;4,159161;181;89AVA
890003783;47,490729;3,911144;126;89AVA
890003817;47,489286;3,899612;40;89AVA
890003833;47,489144;3,907968;175;89AVA
890003866;47,489992;3,907348;24;89AVA
890003882;47,489832;3,909062;185;89AVA
890004237;47,531878;3,634136;33;89AVA
890004351;47,527233;3,540951;31;89AVA
890004385;47,613949;3,501002;90;89AVA
890004534;47,58781;4,004127;163;89AVA
890004716;47,801294;4,087294;126;89AVA
890004732;47,895183;3,757597;118;89AVA
890004955;47,696874;3,995774;67;89AVA
890005135;47,368354;3,997465;108;89AVA
890005887;47,8481;4,084794;54;89AVA
890005952;47,864186;3,980923;63;89AVA
890005986;47,85816;3,973066;152;89AVA
890006000;47,852882;3,985124;39;89AVA
890006117;47,664747;3,73475;27;89AVA
890006273;47,703177;3,6331;60;89AVA
020002713;49,769969;4,179612;196;08RET
020006490;49,435337;3,966929;81;08RET
020010344;49,710959;4,129266;196;08RET
080002074;49,462732;4,109745;50;08RET
080002124;49,477931;4,579011;166;08RET
080003015;49,529554;4,243959;74;08RET
080003031;49,649556;4,247503;50;08RET
080004476;49,723625;4,714218;141;08RET
080006943;49,39799;4,380185;130;08RET
080007065;49,76841;4,340061;165;08RET
080007081;49,525471;4,476125;182;08RET
080007453;49,311852;4,709136;73;08RET
080007636;49,648801;4,641019;123;08RET
080007867;49,753943;4,698125;105;08RET
080008253;49,511886;4,367934;130;08RET
080008287;49,506028;4,363077;154;08RET
080008303;49,508709;4,366331;114;08RET
080008337;49,508285;4,366054;85;08RET
080008535;49,50721;4,133322;93;08RET
080008550;49,576993;4,494207;192;08RET
080008584;49,499275;4,363253;64;08RET
080008857;49,697838;4,421296;141;08RET
080008907;49,44053;4,287323;152;08RET
080009053;49,397566;4,700246;186;08RET
080009087;49,397404;4,702819;121;08RET
080009103;49,397672;4,699234;102;08RET
080009236;49,355393;4,501349;198;08RET
080009251;49,355393;4,501349;61;08RET
520000787;48,244669;5,309579;196;52SDI
520000837;48,655551;4,967488;21;52SDI
520000886;48,20221;5,140682;139;52SDI
520000985;48,198587;5,585458;64;52SDI
520001017;48,094475;5,610578;78;52SDI
520001421;48,317736;5,210035;60;52SDI
520001454;48,375969;4,922031;47;52SDI
520001470;48,590037;4,865179;136;52SDI
520001504;48,583746;5,040481;136;52SDI
520001603;48,295833;5,147938;116;52SDI
520001637;48,44393;5,146298;164;52SDI
520001652;48,442663;5,141061;150;52SDI
520001686;48,450077;5,147181;35;52SDI
520001702;48,441176;5,137899;116;52SDI
520001884;48,476766;4,771515;51;52SDI
520002056;48,528108;5,098769;161;52SDI
520002106;48,275938;5,289527;125;52SDI
520002122;48,63185;4,968116;72;52SDI
520002155;48,647608;4,966958;151;52SDI
520002171;48,639765;4,971117;30;52SDI
520002221;48,64581;4,943352;194;52SDI
